ROAD_AGE,LANE_COUNT,SPEED_LIMIT,Snow_Route,Snow_Removal_Designate,Maintenance_Group,Neighbourhood_Name,route_id,Road_Surface_Type,Road_Structure_Type,TRAFFIC_VOLUME,STREET_NAME,OBJECTID,ROAD_ID
65.0,2,50.0,1,1,2,15,0,1,0,6943.0,W,4697560,9257
62.0,2,50.0,1,1,2,15,0,1,0,6943.0,W,4697561,9258
76.0,2,50.0,0,1,2,13,0,1,0,12063.0,P,4697572,6618
66.0,4,50.0,0,1,3,13,0,1,0,11410.0,20th,4697573,6570
63.0,2,50.0,2,1,3,15,0,1,0,1769.0,Rusholme,4697575,7598
69.0,2,50.0,0,1,2,15,0,1,0,10921.0,P,4697583,7542
63.0,2,50.0,2,1,3,15,0,1,0,1769.0,Rusholme,4697584,7599
68.0,2,50.0,2,1,3,15,0,1,0,1769.0,Rusholme,4697585,7596
68.0,2,50.0,1,2,3,12,0,1,0,8976.0,11th,4697611,6236
68.0,2,50.0,1,2,3,12,0,1,0,8976.0,11th,4697614,6239
68.0,2,50.0,1,2,3,12,0,1,0,8976.0,11th,4697617,6237
70.0,2,50.0,1,2,3,12,0,1,0,8976.0,11th,4697618,6230
68.0,2,50.0,1,2,3,12,0,1,0,8976.0,11th,4697619,6229
71.0,2,50.0,1,2,3,12,0,1,0,8902.0,11th,4697635,6219
70.0,2,50.0,1,2,3,12,0,1,0,8976.0,11th,4697640,6227
70.0,2,50.0,1,2,3,12,0,1,0,8976.0,11th,4697641,6226
71.0,2,50.0,1,2,3,12,0,1,0,8902.0,11th,4697643,6222
71.0,2,50.0,1,2,3,12,0,1,0,8902.0,11th,4697644,6220
59.0,2,50.0,0,2,1,111,0,1,0,1880.0,16th,4697663,6474
59.0,2,50.0,0,2,1,111,0,1,0,1880.0,16th,4697665,6476
59.0,2,50.0,0,2,3,12,0,1,0,1880.0,16th,4697668,6456
72.0,2,50.0,0,2,3,1,0,1,0,608.0,Spadina,4697710,6249
68.0,2,50.0,2,1,2,1,0,1,0,3097.0,P,4697711,6300
58.0,2,50.0,2,1,1,40,0,1,0,5338.0,Arlington,4697713,3526
58.0,2,50.0,2,1,1,40,0,1,0,7298.0,Arlington,4697714,3519
58.0,2,50.0,2,1,1,40,0,1,0,7298.0,Arlington,4697718,3523
61.0,2,50.0,1,1,1,41,0,1,0,13319.0,Taylor,4697721,4259
63.0,2,50.0,0,1,2,36,0,1,0,3402.0,Louise,4697722,4290
68.0,2,50.0,1,1,2,30,0,1,0,5942.0,Clarence,4697729,4704
69.0,2,50.0,2,1,3,29,0,1,0,5375.0,Ruth,4697731,4718
69.0,2,50.0,2,1,3,29,0,1,0,5375.0,Ruth,4697732,4717
67.0,2,50.0,1,1,2,29,0,1,0,4786.0,Clarence,4697734,4743
69.0,2,50.0,2,1,3,29,0,1,0,5375.0,Ruth,4697735,4715
67.0,2,50.0,2,1,3,38,0,1,0,4947.0,Ruth,4697736,4712
55.0,2,50.0,2,1,1,8,0,1,0,4538.0,Richardson,4697745,10084
62.0,2,50.0,2,1,3,39,0,1,0,3519.0,Ruth,4697795,4335
62.0,2,50.0,2,1,2,39,0,1,0,3402.0,Louise,4697798,4332
63.0,2,50.0,0,1,2,36,0,1,0,3402.0,Louise,4697799,4284
63.0,2,50.0,0,1,2,36,0,1,0,3402.0,Louise,4697800,4289
63.0,2,50.0,0,1,2,36,0,1,0,3402.0,Louise,4697801,4288
63.0,2,50.0,0,1,2,36,0,1,0,3402.0,Louise,4697802,14208
62.0,2,50.0,0,1,2,39,0,1,0,3402.0,Louise,4697803,14209
62.0,2,50.0,0,1,2,39,0,1,0,3402.0,Louise,4697807,4338
70.0,2,50.0,2,1,2,29,0,1,0,3428.0,Broadway,4697812,4775
69.0,2,50.0,2,1,3,29,0,1,0,5154.0,Ruth,4697813,4730
69.0,2,50.0,2,1,3,29,0,1,0,5154.0,Ruth,4697814,4724
69.0,2,50.0,2,1,3,29,0,1,0,5154.0,Ruth,4697818,4734
69.0,2,50.0,2,1,3,29,0,1,0,5154.0,Ruth,4697819,4722
69.0,2,50.0,2,1,3,29,0,1,0,5154.0,Ruth,4697820,4721
62.0,4,50.0,0,1,3,17,0,1,0,15943.0,33rd,4697837,10633
62.0,4,50.0,0,1,3,17,0,1,0,15943.0,33rd,4697841,10634
80.0,2,50.0,0,2,3,26,0,1,0,862.0,9th,4697863,6046
119.0,2,50.0,1,1,2,12,0,1,0,8985.0,H,4697865,6435
119.0,2,50.0,1,2,2,12,0,1,0,8985.0,H,4697866,6441
62.0,2,50.0,0,2,3,15,0,1,0,2656.0,29th,4697871,9320
63.0,2,50.0,2,1,3,15,0,1,0,1769.0,Rusholme,4697872,9223
65.0,2,50.0,1,1,2,15,0,1,0,6943.0,W,4697873,9313
63.0,2,50.0,2,1,3,15,0,1,0,1769.0,Rusholme,4697874,9226
63.0,2,50.0,2,1,3,15,0,1,0,1769.0,Rusholme,4697875,9224
62.0,2,50.0,0,2,3,15,0,1,0,2656.0,29th,4697877,9317
64.0,2,50.0,0,1,2,15,0,1,0,5774.0,W,4697879,9347
64.0,2,50.0,0,1,2,15,0,1,0,5774.0,W,4697880,9348
62.0,2,50.0,0,2,3,15,0,1,0,2656.0,29th,4697883,9316
62.0,2,50.0,0,2,3,15,0,1,0,2656.0,29th,4697892,7634
69.0,2,50.0,0,1,2,15,0,1,0,10921.0,P,4697908,7535
66.0,4,50.0,0,1,3,13,0,1,0,14570.0,20th,4697937,6622
77.0,2,50.0,0,2,3,12,0,1,0,1880.0,16th,4697942,6443
78.0,2,50.0,0,2,3,12,0,1,0,1880.0,16th,4697948,6431
77.0,2,50.0,0,2,3,12,0,1,0,1880.0,16th,4697949,6433
72.0,2,50.0,0,2,3,14,0,1,0,1299.0,19th,4697953,6686
116.0,4,50.0,0,1,3,14,0,1,0,13166.0,20th,4697954,6608
72.0,2,50.0,0,2,3,14,0,1,0,1299.0,19th,4697965,6690
72.0,2,50.0,0,2,3,14,0,1,0,1299.0,19th,4697966,6691
69.0,2,50.0,0,1,2,15,0,1,0,10921.0,P,4697969,7537
63.0,2,50.0,2,1,3,15,0,1,0,1769.0,Rusholme,4697971,9221
72.0,4,50.0,0,1,3,13,0,1,0,11410.0,20th,4697973,6575
72.0,2,50.0,0,1,3,13,0,1,0,8228.0,20th,4697974,8548
52.0,2,50.0,1,1,1,48,0,1,0,13960.0,Central,4697989,2110
58.0,2,50.0,1,1,1,49,14670,1,0,9398.0,115th,4697991,2119
53.0,2,50.0,1,1,1,48,0,1,0,13960.0,Central,4697996,2113
58.0,4,50.0,0,1,1,48,0,1,0,16533.0,Central,4697997,2356
58.0,2,50.0,1,1,1,49,14670,1,0,9398.0,115th,4697998,2117
58.0,2,50.0,1,1,1,49,14670,1,0,9398.0,115th,4698005,2120
43.0,2,50.0,1,1,1,48,0,1,0,13960.0,Central,4698007,2108
43.0,2,50.0,1,1,1,48,0,1,0,13960.0,Central,4698008,2109
40.0,2,50.0,1,1,1,49,0,1,0,2178.0,Berini,4698024,2517
41.0,2,50.0,1,1,1,49,14670,1,0,7991.0,115th,4698026,2126
41.0,2,50.0,1,1,1,49,14670,1,0,7991.0,115th,4698028,2127
39.0,2,50.0,1,1,1,60,0,1,0,4422.0,Kenderdine,4698031,2625
39.0,2,50.0,1,1,1,60,0,1,0,4422.0,Kenderdine,4698033,2623
38.0,2,50.0,1,1,1,67,0,1,0,9953.0,Kenderdine,4698034,2572
39.0,2,50.0,1,1,1,60,0,1,0,4422.0,Kenderdine,4698038,2626
58.0,2,50.0,1,1,1,49,14670,1,0,9398.0,115th,4698103,2124
58.0,2,50.0,1,1,1,49,14670,1,0,9398.0,115th,4698104,2123
47.0,2,50.0,0,2,1,55,0,1,0,4199.0,Whiteswan,4698134,17014
66.0,2,50.0,2,1,3,29,14636,1,0,2070.0,Wilson,4698145,4814
66.0,2,50.0,2,1,3,29,14636,1,0,2070.0,Wilson,4698146,4816
70.0,2,50.0,1,1,3,27,0,1,0,5085.0,Taylor,4698153,5068
69.0,2,50.0,2,2,2,28,0,1,0,1333.0,Herman,4698169,5005
